order_item_id,order_id,product_id,quantity,unit_price
1,1,5,3,352.4
2,1,16,1,200.84
3,2,4,1,108.71
4,3,14,3,457.0
5,3,3,2,85.51
6,4,15,3,110.25
7,4,9,3,138.62
8,4,1,3,193.16
9,4,4,3,108.71
10,4,18,2,127.08
11,5,4,2,108.71
12,5,14,1,457.0
13,5,15,1,110.25
14,6,17,1,75.72
15,6,17,1,75.72
16,6,10,3,343.88
17,7,7,1,269.4
18,7,12,1,403.5
19,7,18,3,127.08
20,7,1,3,193.16
21,7,11,2,118.38
22,8,12,2,403.5
23,9,8,3,85.88
24,10,16,1,200.84
25,11,5,1,352.4
26,11,16,3,200.84
27,11,6,2,306.52
28,11,17,3,75.72
29,11,14,1,457.0
30,12,10,2,343.88
31,12,12,2,403.5
32,13,4,1,108.71
33,13,8,1,85.88
34,13,11,1,118.38
35,13,19,3,374.77
36,14,8,1,85.88
37,14,3,3,85.51
38,14,2,1,319.66
39,14,3,1,85.51
40,14,11,1,118.38
41,15,9,3,138.62
42,15,16,1,200.84
43,16,19,3,374.77
44,16,16,1,200.84
45,17,7,1,269.4
46,17,4,3,108.71
47,17,14,2,457.0
48,17,14,2,457.0
49,18,4,1,108.71
50,19,4,1,108.71
51,19,7,1,269.4
52,19,18,2,127.08
53,20,6,2,306.52
54,20,15,1,110.25
55,20,3,2,85.51
56,20,18,1,127.08
57,21,1,1,193.16
58,21,8,1,85.88
59,21,14,2,457.0
60,21,16,1,200.84
61,21,13,1,137.53
62,22,1,2,193.16
63,22,9,2,138.62
64,22,10,2,343.88
65,22,18,3,127.08
66,23,5,1,352.4
67,23,10,1,343.88
68,23,2,3,319.66
69,23,18,1,127.08
70,24,2,1,319.66
71,24,19,2,374.77
72,24,17,3,75.72
73,25,17,1,75.72
74,26,20,1,449.42
75,27,13,1,137.53
76,27,19,1,374.77
77,28,2,3,319.66
78,28,3,2,85.51
79,28,19,3,374.77
80,28,17,2,75.72
81,28,9,1,138.62
82,29,8,2,85.88
83,29,13,1,137.53
84,29,10,2,343.88
85,30,1,2,193.16
86,31,4,1,108.71
87,31,18,1,127.08
88,31,17,2,75.72
89,31,5,2,352.4
90,31,3,1,85.51
91,32,6,2,306.52
92,32,18,3,127.08
93,32,10,3,343.88
94,33,1,3,193.16
95,33,18,2,127.08
96,33,4,1,108.71
97,33,9,1,138.62
98,33,4,3,108.71
99,34,9,2,138.62
100,34,20,1,449.42
101,35,7,3,269.4
102,35,9,3,138.62
103,35,16,2,200.84
104,36,14,2,457.0
105,37,11,1,118.38
106,38,6,3,306.52
107,38,15,3,110.25
108,38,14,3,457.0
109,39,3,3,85.51
110,40,2,2,319.66
111,40,19,3,374.77
112,40,5,2,352.4
113,40,5,1,352.4
114,40,10,2,343.88
115,41,7,3,269.4
116,41,8,3,85.88
117,41,4,2,108.71
118,42,14,3,457.0
119,42,5,1,352.4
120,42,6,1,306.52
121,42,14,1,457.0
122,42,6,3,306.52
123,43,8,2,85.88
124,43,6,3,306.52
125,43,4,2,108.71
126,43,2,2,319.66
127,44,15,2,110.25
128,44,10,1,343.88
129,45,7,2,269.4
130,46,3,2,85.51
131,46,12,3,403.5
132,46,17,2,75.72
133,47,11,1,118.38
134,47,4,2,108.71
135,47,6,3,306.52
136,47,9,1,138.62
137,47,4,3,108.71
138,48,11,2,118.38
139,48,20,3,449.42
140,48,4,2,108.71
141,49,9,1,138.62
142,49,14,1,457.0
143,50,7,2,269.4
144,50,14,1,457.0
145,50,11,3,118.38
146,50,11,3,118.38
147,50,4,3,108.71
148,51,10,3,343.88
149,51,14,2,457.0
150,51,13,3,137.53
151,51,10,3,343.88
152,51,5,1,352.4
153,52,6,3,306.52
154,52,19,2,374.77
155,52,13,3,137.53
